source,hospital,review
MouthShut,Fortis,"My Father is a multiple cancer survivor. This hospital in bannergatta road and its Oncology team including Dr. Niti Raizada and the whole team was able to identiy the problem at a late stage quickly guage if the patient can tolerate the treatment, find the right treatment and advocate it quickly. They Coordinated with the other departments very fast and found the latest medicine available to address and resolve the issue.

Brother Pradeep in Dr. Niti's team is also excellent in messaging and answering any other questions we might have about the process involved.

My 85 yr old father has been in remission for past 5 yrs with god's blessing.

Dr. Niti Raizada, Dr Gayana and Dr. Madhusudhan .N Have made the difference and were key to the success in this cancer fight."
MouthShut,Fortis,"Any organisation reputation begins at the gate, Politeness, respect and eagerness to help the patient relatives is seen in Shyam Dada, last 15 years I know him his politeness greetings and helping nature is infectious.

My mother is admitted in ICU1 bed no 225 and the Dr. Charudatt Vaity is always smiling and convincing in a simple manner the present condition of my mother.

He is Great Dr. Fortis Mulund is having in ICU.

BEST WISHES ALWAYS"
MouthShut,Fortis,"I would like to express my sincere gratitude to Shyam Sundar Nirgun, the security guard at Fortis Hospital, for his exceptional kindness and empathy during our visit. In a stressful and emotional situation, he went above and beyond his duty to comfort us and ensure we felt safe.

His calm demeanor and reassuring words truly made a difference, helping us stay composed when we needed it the most. It is rare to find someone in his role who not only performs their job diligently but also shows such genuine care for people.

Your kindness will always be remembered! Fortis Hospital is fortunate to have such a dedicated and empathetic individual on their team"
MouthShut,Fortis,I am undergoing a treatment in fortis.Everytime after consulting the doctor i buy medicines from pharmacy.There is a Staff in Pharmacy Nazim is really very cooperative.Everytime listen very carefully & give complete medicines & yesterday i bring my old medicines to him as well & he checked all the medicines without getting irritated & give me the new medicines & completed the incomplete medicines which i have.The way He handle a hectic situation in rush of patients with calmness is impressive..
MouthShut,Fortis,I had booked a consultation for my mom in ortho department and while booking i asked explicitly if the doctor will be available as it was noon time. They called me one day before to confirm that I will be coming.We reached half hour early to pay the fee and wait for doctor.Even after two hours they kept telling me that doctor will come in 10min. My mom was tired and we had come for consultation about her knee replacement surgery. She said if this is the treatment she gets when we go for consultation then she does not want to do the surgery from this hospital. We came back without showing the doctor. Our consultation fee and cab fee and time was wasted. It is a pity that the hospital considers that patients dont have any work and their time is of no value. The doctor was in a scheduled surgery which means they were aware that he cannot take consultation at the time alloted for my mom. Then why give a booking? Very disappointed with Fortis.
MouthShut,Fortis,I am very happy with the result I got by following diet plan for my hypothyroid issue for 3 months.i have been suffering from hypothyriod and with weight since 2years and I am very surprised also with the result after following the diet plan that maam had suggested me. I am feeling energatic and happy. I have lost 8kgs and looking forward for more to reduce. Thank you Dt. Neenu chambial maam for your guiddens with your knowledge. I will like to suggest everyone to come to maam who are suffering from any disease. She is the best dietitian.
MouthShut,Fortis,"My father 79 years old is admitted in ICU of Fortis hospital, Anandapur, Kolkata and at night he was slapped by Joynagar in west Bengal boy(nurse) on body because of repetation of words that is common in in every old man and then started laughing saying ""pagla buro toke mere shesh kore debo""(Bengali) and in English it means ""mad I will beat and finish you""on the night of 13th March , 2025.How he can dare touch.Do you want anyone to complaint in police or other.My kindly request to take strict actions on it.ICU 345 Pijush Kanti Dutta discharged on 14th March of 2025 because of inconvenience and bad behaviour of the boy in ICU who is from Joynagar in west bengal near Kolkata.

REGARDS,

RESHMI AND KOUSHIK DUTTA"
MouthShut,Fortis,All went well at the time of surgery but after the surgery we have to visit the doctor again for the consultation there is a lady called SHABRINA she takes care of surgery department and assist to Vivek jawali.. this lady doesn't treat everyone equally.. after the surgery if patient is suffering from any side effect issues or anything when we call this lady doesn't speak with respect & shows her ultimate carelessness in handling patients & no politeness also .. as a common public I request to take severe action & please remove this lady from this seat.. after that incident I am not suggesting anyone to go to Fortis Hospital Cunningham road day by day this Hospital starts are becoming worst..
MouthShut,Fortis,Poor house keeping poor dietary stuff poor work out not timely attention to patients lethargic attitude poor toilets mattress furnitures
MouthShut,Fortis,"Forties management what do you do , you should see why people are leaving their jobs in your shalimar bagh delhi branch . Especially girls, there are some people in your branch in Shalimar Bagh who move around in groups, harass girls and ask for sexual favours from them. After not giving sexual favours, if they do not listen to them, they harass them from their duty. They do not give them duty and say go back to home, And the Gents Ward Boys there in connivance with the site manager and supervisor also try to molest the girl patients when they are sleeping or unconscious during treatment. Management and Owner, you should check the record of last 1 to 2 years as to left the job and how many girls are there among them and group boss is site manager goutam kumar and the two people sorubh choudhary and udham singh, we are waiting from your prompt and best response and resolution.

Thanks ????"
MouthShut,Fortis,"I took my mother to Dr. Adarsh, a vascular surgeon, for the treatment of long-neglected and complicated varicose veins. Through laser treatment, he effectively treated her condition with remarkable patience and expertise. The surgery lasted 3-4 hours, and his precision was commendable. The follow-up care, including wound dressing and monitoring, was smooth and thorough. Now, after three weeks, my mother is doing well and highly satisfied with the results. I truly appreciate Dr. Adarsh’s skill and dedication and highly recommend him for varicose vein treatment."
MouthShut,Fortis,"I had the worst experience at Fortis Hospital Nagarbhavi last night. My mother was advised by the doctors and nurses to undergo a CT scan, so she was admitted and given intravenous fluids. Unfortunately, this treatment made her feel dizzy. Afterward, they suddenly prepped her to be transferred to Rajajinagar without informing us why.

We were completely unaware that the CT scan machine at their facility was not working, and no one from the emergency ward communicated this to us. When we questioned why they were transferring my mom to a different location, they claimed they didn’t know about the malfunctioning machine. It was incredibly frustrating to learn this only after we inquired.

To make matters worse, when we addressed our concerns with the manager, the response was rude and dismissive, spoken with arrogance. As a family, we expected clear communication, especially during an emergency, but unfortunately, Fortis Hospital failed on that front.

It was an incredibly distressing situation that could have been handled much better. I hope the management takes this feedback seriously and works on improving their communication and customer service. We will certainly think twice before considering this hospital again."
MouthShut,Fortis,The oncology doctor team don't know if they are just practicing surgery on a Thyroid cancer patient or just another way to incur money from patient. Either they are not clear what they doing or just wasting a patient life or practicing their hands on surgery. 2 months ago a surgery happened and a 3 lymph node removed. But in 1.5 months again the lymph node came back. What surgery they did? Don't they know what they are treating?
MouthShut,Fortis,"Thank you officer Nirgun for your kind support.

I had a family member in the ICU . Officer was very helpful to us relatives .He manages all anxious relatives with kindness and helps as much as he can.

God bless him??"
MouthShut,Fortis,"I would like to express my sincere gratitude to Shyam Sundar Nirgun, the security guard at Fortis Hospital, for his exceptional kindness and empathy during our visit. In a stressful and emotional situation, he went above and beyond his duty to comfort us and ensure we felt safe.

His calm demeanor and reassuring words truly made a difference, helping us stay composed when we needed it the most. It is rare to find someone in his role who not only performs their job diligently but also shows such genuine care for people.

Your kindness will always be remembered! Fortis Hospital is fortunate to have such a dedicated and empathetic individual on their team

?????"
MouthShut,Fortis,"Right from the moment I was rolled into his chamber he has been nothing less than an angel.

His knowledge and love for his profession clearly reflects in the way he deals with his patients. He took me through each step of surgical journey to help me decide and make an informed decision. Not for a minute was I scared as I knew I was in great hands. Thank you doc for always greeting me with a smile and answering 100’s of questions(since I ask too many) and giving me a better quality of life. Patients like me are blessed to have docs like you .

To many more greets and fist bumps

Dr. Suparna Jain"
MouthShut,Fortis,NICE EXPERIENCE BUT VERY EXPENSIVE TO AFFORD. WE WENT THEIR ONE TIME FOR SOME URJENT EMERGENCY IT IS OK BUT VERY EXPENSIVE AND DID MANY UNNECESSARY TEST ALSO
MouthShut,Fortis,"We had the good fortune to be under the treatment of Dr. H. B. Sodhi (neurosurgeon at Fortis, Mohali) for our autistic son’s surgery which was needed due to a haemorrhagic stroke. The operation went well and the recovery was also without any complications which is a tribute to Dr. Sodhi.

What was exceptional was the extraordinary length to which Dr. Sodhi went to accommodate the needs of our autistic child. There are too many things to list.

Overall, doctor is very professional, empathetic, answers all questions with detailed answers and genuinely cares for his patients and the caregivers."
MouthShut,Fortis,"I would like to express my heartfelt gratitude to Dr. Harsimrat Bir Singh Sodhi. After undergoing surgery, I have experienced significant relief from my back pain. Before the treatment, even daily activities had become increasingly challenging, but now, thanks to his expertise, I feel much better and can manage my routine with ease."
MouthShut,Fortis,"Sincere thanks to Dr.Harsimrat bir Singh Sodhi sir. I got a sudden sharp pain in my left leg and pain because unbearable and convert into a foot drop.I was not able to walk, sleep or sit due to this leg pain.I had to rush to Fortis Mohali for help and Dr. Harsimrat Bir Singh Sodhi sir review my case .and the spine surgery was performed by Dr.sodhi. I had a great experience with sir with the short period of time.his effective treatment and gentle care helps me recover quickly. once again I sincerely thankful to DR.Sodhi for timely help."
MouthShut,Fortis,"I am sorry to say that the doctor discharging her duties as endocrinologist one Dr. Ms Gagan Priya has no ethics of her profession.She was so rude when I visited her instead of diagnosing she screamed upon me and said that you are an uneducated person who does not no what for you are visiting she would have been surprised if I had unveiled my education.

But I suggest that don't ever visit Gagan Priya instead consult some other endocrinologist because she has no addicates as how to talk to a patient."
MouthShut,Fortis,"This hospital is well managed with quality staff. All the tests and checkups were well coordinated. I am very happy with the hospitality, caring staff. Doctors are also amazing special thanks to dr hamza dalal . The people are so kind and thoughtful. You have the best hospital I have ever been"
MouthShut,Fortis,"My dad is admitted in Fortis for chemotherapy. First of all, I want to thanks Dr ketan for his support and guidance. He is such a kind hearted and experienced oncologist...

Now come to nursing staff... Services of nursing staff is deteriorating.... Nurses are not well experienced. While injecting injections, nurses cause lot of pain which shows their low capability and no empathy for the patient.

They don't bother to give medicines to the patient. Attendant of the patient have to ask everything again and again. Junior doctors have no role in the wards.. no concern for the patient at all ... Really disappointed this time ...."
MouthShut,Fortis,My brother was in icu All Security officer and Mr.Shyam was very helpful and comforted also they have all the information with them.
MouthShut,Fortis,"I am deeply grateful for the care and expertise provided by Dr. NAVAL BANSAL and his team .The successful outcome of my mother’s surgery is a testament to their exceptional skill and dedication. From the very beginning, they took the time to explain the procedure in detail, addressing all our concerns with patience and clarity.

Their calm and compassionate demeanor gave me immense confidence and comfort during a challenging time. The post-operative care and follow-ups have been equally remarkable, showing a genuine commitment to my mother’s recovery.

Also i would like to mention Ms Sandeep, Dr. Naval’s assistant also helped us throughout in every step.

Thank you for your tireless efforts not just for my mother but for all those you help every day."
MouthShut,Fortis,Excellent food and service man Mr. Vikash Kumar and Mr.yash gupta thanks f&b department patient experience is very good ??
MouthShut,Fortis,"We are truly thankful to Dr. Nisha Munjal (Gynaecologist) and Monika Ma’am (Coordinator) for their constant care and support throughout this special journey. Their kindness and dedication mean so much to us.

A big thank you to Fortis Kangra for having such amazing professionals on your team. It truly is the best hospital, with experienced doctors and nurses who provide excellent care.

With Dr. Nisha’s guidance and Monika Ma’am’s support, we were blessed with a healthy baby girl. Over the past nine months, Dr. Nisha gave us the best advice and care, even through online consultations during emergencies.

We are deeply grateful for everything you’ve done to make this experience so smooth and memorable. Thank you!"
MouthShut,Fortis,"Refer the ATTACHED ONLINE COMPLAINT LODGED with DELHI POLICE and attached SMS screenshots and note that my father - Sh. Gulshan Bhatla, a patient of Fortis Hospital, Shalimar Bagh, Delhi over the years has lost his life on 13th Nov'24 early morning due to super world class services of Fortis Hospital.

As my father was feeling unwell, I called the Emergency Ambulance Service using the Fortis App with my first call at around 12.24 am on 13th Nov'24 where I have been confirmed that Ambulance has been left out for my father and as requested, I shared my location via link received on sms but surprisingly that Ambulance has never reached my place.

After waiting for several minutes, when condition of my father started deteriorating, I made multiple calls to the Ambulance Services to which I have been refused stating - There is no bed in the hospital. I pleaded the Hospital's Ambulance Services to come and take the patient atleast to the Emergency Services for immediate relief and in case of any issues, send the Ambulance to take him to any other hospital but request was turned down and finally, my father passed away and left this World due to clear lapses in services from Fortis Hospital, Shalimar Bagh, Delhi 110088.

Similar issue happened on 5th Sep'24 also and after the horrible Ambulance Services, I was assured that such type of incident is not going to happen again which turned out to completely false on 12th and 13th Night and taken away the valuable life of my father.

Hence, request your immediate intervention and action in the matter as this valueable loss of my father's life due to failure of Fortis Hospital services cannot be tolerated.

Although, matter has been escalated via multiple mails to MD and CEO of Fortis Healthcare - Mr. Ashutosh Raghuwanshi and other mail ids of Fortis Hospital where no positive response has been received from the Hospital and with this, it is clear that there is no value of life in the dictionary of Fortis Hospital which straight-away calls stern legal action against the Hospital starting with License Cancellation of the Hospital immediately in Public Interest.

Regards,

Tarun Bhatla

103, Canal View Appartments, Sector 15, Rohini, Delhi 110089

Contact - 9891329440"
MouthShut,Fortis,"Just because the hospital is built in front of IIM B, doesn’t mean Fortis should turn into money making organisation, through just charging lakhs and thousands of rupees from a patient. No patient would like to die in arms if doctors or nurses when there is a loving family behind them. Had a horrible experience with Fortis. We as a common folk go to big hospital because the best doctors and nurses are hired there, Who are known for their care and hospitality to ensure the patient does not lose hope.

My aunt had a shoulder fracture due to a fall at home. First aid was done at her hometown. Fortis is the first name which comes in mind for best care, hence we rushed her to Bannergatta Road Fortis emergency on 31st October 2024 10:00 pm. Duty doctor examined and said no worries she can leave, the time around 11:30 pm. Then the drama started her sugar level is high she needs immediate attention and has to be hospitalised for one day. No one wants to ignore, like anyone else we said we should get her admitted. Patient registration number: 13480909/ iPid 259018/ 24/1113

The room was given on 1st November 12:15 am, But the billing ensured the room charge of 31st October also included. This is a protocol hence we charge basis on the registration time. The lady who asked me for the deposit said, that’s not my job. Tomorrow meet the admin and bargain.

Then another duty doctor named Prashanth in the threatening voice said, if we don’t get the brain CT scan, then if something happens to her in the midnight, hospital is not responsible for patient’s condition as the patient had mentioned she had consulted an ENT for ear pain previous day and she had been given medication.Then we asked the cost of the scan. The employee out there said, during govt holidays and other long weekends the charges are double it will cost 4, 000. We said ok. Next early morning we got to know everything was normal as per CT Scan. Then Dr Sheela, the general physician somehow made it despite her personal commitment. Her statement - we should examine the reason for her fall. May be it’s related to cardiology or nerves. Let the cardiologist examine. Forcefully explained the logic of ECO not needed. No problem was the statement made by neurologist too. Also mentioned about threatening services that the hospital provides because the hospital Machines must be running continuously to maximise the capacity.

Then suggested ultrasound test “just” to ensure there is no problem with kidney or liver. The report said all ok. By then the day passed. Discharge did not happen on 1st November. The most important treatment of ortho was IGNORED. Silly reason the shoulder band size was not available. They managed to convince the smaller size will fit. Consumables were charged but it gets used for treating other patients. The patient looked unhygienic. Did not bother even to change the gown or sheet or give a sponge bath. Despite multiple complaints. Dear doctors would you allow someone from your family suffer like this? Would you threaten your family to get the scan done because you need to show the machine capacity utilisation? Make money and profits, you are in the business but not at the cost of patient's life. By the way my aunt was charged 70, 000 for nothing but to treat her sugar and BP. She never had cough but you suggested mucolite. There was no consultation of ortho no medication prescribed for her ear pain. But we paid the consultation fees of physiotherapist and dietitian. Be mindful and hope this reaches to other patients and their near ones. Whoever is reading this, please ensure this doesn’t happen to you or your near ones."
MouthShut,Fortis,Canteen services are great. Sandeep and Yash have been very helpful. Food options are also rich. Overall it has been a good experience
MouthShut,Fortis,"Good service

& Best food for patients service accordingly patient required very good service nd good staffs"
MouthShut,Fortis,The food was awesome and staff was caring. They had taken regular rounds for feedback and also done their work as best as they can do.
MouthShut,Fortis,"The first time we went to inquire for tooth extraction the male Dr Mahinder singh quote us the charges for 2 tooth will be rs 10k-12k, but after the extraction was done by women Dr Garima yadav, the charges were 29000 when we went to pay at the payment counter. They were liars dishonest greedy, and taking advantage of being I am a foreigner, I will never recommend to anyone to go to this hospital for dental work. I can get it done at this price even in the USA. Pathetic people"
MouthShut,Fortis,Our experience was good with Fortis specially Food service. Taste is good and service is mind blowing.
MouthShut,Fortis,Can u believe one Mr Rakesh of Fortis Hospital has stopped ICU services for a critically ill patient and demanded full clearance of the running bill..
MouthShut,Fortis,"I recently had the pleasure of working with Dr. Rabia, and I can't recommend her highly enough. From our first meeting, her warmth and expertise made me feel at ease. She took the time to listen to my concerns and tailored her approach to meet my specific needs.

Her knowledge of breastfeeding techniques and lactation issues is exceptional. She provided practical tips and support that made a noticeable difference in my breastfeeding journey. What stood out most was her patience and encouragement, which helped me build confidence during a challenging time.

Additionally, Dr. Rabia was always available for follow-up questions, demonstrating her commitment to her clients. Thanks to her guidance, I feel empowered and well-equipped to continue breastfeeding. If you're seeking a knowledgeable, compassionate lactation consultant, look no further— Dr. Rabia is the best!"
MouthShut,Fortis,"Dr. Harsimratbir Singh Sodhi provided exceptional care during my mother's spine surgery. His expertise and thorough explanation of the procedure alleviated her anxiety, and his attentive demeanor made her feel valued as a patient. The surgery was a success, and her recovery has been smooth, thanks to his skill and guidance. I highly recommend him for anyone considering spine surgery; he truly delivers ultimate results."
MouthShut,Fortis,Good foods hospital and services is good and the food and beverage team provide the food to the patient..??
MouthShut,Fortis,"Excellent doctor , we are very happy with treatment may god bless him and thanks to sister gurpreet for helping u"
MouthShut,Fortis,Radiology staff seniors bully and mentally tortured there junior staff and traine plz take some action!
MouthShut,Fortis,Excellent Service And Good Staff................................Clean Hospital Superb Doctors.......
MouthShut,Fortis,"Very good service. very helpful. They are very much attention for patient, helpful good knowledge ."
MouthShut,Fortis,The doctors are highly knowledgeable andattentive. Highly recommended for specialized treatment. Impressive facilities and state-of-the -art equipments
MouthShut,Fortis,"They are butchers and looting poor patient's . Hardly care about patient's. Before surgery.They are like God for us and after the surgery.They show the right face. Making money is their criteria only . For them patient's are like money machine.Doctor's hardly care after surgery.The best part is they give wrong commitments regarding your insurance.Add so many useless expenses in the final bills after the surgery. Never ever think of Fortis. You will be looted if you ever gone.

Experience is not satisfactory. They hardly care about patient's. There primary focus is only money."
MouthShut,Fortis,"Excellent doctor, no words for them, they were like a god to me and saved me. May god bless them always."
MouthShut,Fortis,"My wife surgery Bentall surgery with Aortic Valve Replacement & cabs I’m paying 13 lakh rupees all is good but after surgery next visit Dr & staff behaviour is very different I’m very soaking but not other way I’m I am here. This is my very bad experience. I am request to all don’t come anybody, fortis Hospital"
MouthShut,Fortis,"Dr Harsimrat Singh sodhi and staff is very talented and cooperative Dr sodhi performed my father’s brain surgery

Now my father is feeling well after surgery and recovering now . I want to thank the whole team of Dr Sodhi"
MouthShut,Fortis,"My maternal aunty and his husband admitted in ICU 3 bed no. 1321 & 1325 Geetanjali munj and ganpat munj respectively in fortis healthcare mulund. During the admission process I saw that Shyam Sundar Nirgun sir was on duty and I remembered that two years ago when my grandmother was also admitted in ICU-2, that time also he was on duty as a security guard. I have mentioned his name because of his helping nature, attentivness & professionalism. Even in such a crowded place, I want to salute him for his helpful attitude and calm nature."
MouthShut,Fortis,"Dear Fortis Hospital Staff and Billing Team,

I wanted to take a moment to express my deepest gratitude for the exceptional care and support provided during my recent experience when my elder sister underwent spinal cord surgery. Your dedication, professionalism, and compassion truly made a difference.

To the medical staff, thank you for your unwavering commitment to patient care. Your expertise and kindness made a challenging time much easier to bear, and I am incredibly grateful for the attention and care we received.

To the billing team, led by Archana Waghmare Madam, I greatly appreciate your efficiency and clarity in handling the billing process. Your support in navigating the financial aspects of my sister’s care was invaluable, and I am thankful for your patience and assistance.

Please extend my thanks to everyone involved. Your collective efforts ensured that our experience was as positive and stress-free as possible.

With sincere appreciation,

Sachin Deokar."
MouthShut,Fortis,"The doctors are really an pain over here in NICU of fortis. They are the imposing stupid rules which will make the life of parents hell.

I chose Fortis for birth of my child, after delivering my baby these NICU people hijacked the baby. When I recovered from my trauma of giving birth I wanted to see my baby but these stubborn people start imposing the stupid rules like we are now allowed to meet the baby at night. I was not able to sleep whole night knowing have to wait till morning.

Everything I sent my husband to see the baby from outside he was crying and later doctor over there warned him that they will call security and told even from outside you can't see your baby.

I was already emotionally broken and such attitude from the doctor is making it worse for me. I was traumatized knowing my baby is crying continously and I can't even go there to see him"
MouthShut,Fortis,"We went fortis hospital for my mother's spine problem. After meeting Dr. Harsimrat Birsingh sodhi ji we realised that we came in good hospital because the way of making understand others in easy language and very comfortably. Dr. Sodhi and his team successfully operated my mother's spine and there is no consequences. After the operation my mother is walking like before the pain. She is not feeling any pain after the operation.

We thankful to Dr. Harsimrat sodhi sir and Gurmeet mam for their cooperation.

Thank you so much fortis hospital and team."
MouthShut,Fortis,"After reading this… definitely you would feel even one STAR is more…, they should get negative stars.

1. Can you imagine some problems(may be Money) in between management and doctors, just before surgery?

2. Can you imagine surgery would cancel just a few hours before because of management and doctors' issues, though patient is 100% fit for surgery?

• My hernia surgery was scheduled on 17th morning(Jul 17th, 2024) and staff asked me to join on 16th around 2PM.

• We went to Fortis, Bannergatta Road Hospital at 2 PM on 16th.

• 3PM… No room. 4PM … No room. 5PM…, no room. Their standard answer, “one patient is going to vacate, some insurance problem. So takes some time”.

• Finally at 7 PM, they called for room. Again more than one hour paper work, they asked me to pay 1 Lakh rupees in advance.

• Finally we admitted into room # 749 at 8:30.

• Room is so bad, bathroom door is making lot of sound, but this review is not for room.

• After 8:30 PM, nurse came, collected the papers.

• Around 9 PM, Anastasia's doctor came and double checked. In this way before 10:30 PM, several doctors came and certified for surgery(routine checkup).

• At 10:40 PM…, NEVER EXPECTED WORST THING happened.

• One doctor came and said….”Some problems in between Management and surgeons, so no surgery for tomorrow, you can go home”. REALLY, WE GOT SHOCKED.

• Surgery canceled! Imagine this is some heart operation instead of hernia. Patient would have died.(I heard someday 2 patients died, I don't know the reason)

• They don’t think about patient's mindset, their family's mindset, corresponding prayers etc. Simply Surgery canceled, because of money.

• They have not return my one Lakh rupees even after 2 weeks(Taken surgery in another hospital though).

• I NEVER EVER SUGGEST THIS FORTIS."
MouthShut,Fortis,Fortis boasts of being one of the private hospitals in the region. But the dismal service is being provided at the hospital after charging exorbitant rates. I had to wait for about 3 hours at the IPD to get admitted Instead of being date and time of admission. Everyone will be astonished to note that it took more than 7 hours to get discharged. Not only this the hospital charged rent for the day despite being their fault in discharging. The same room was given to another patient on the same day and he probably would have been charged. So one room was charged from two persons for the same day. The patients are being harrased as there is no one to supervise the working of the staff and no of employees is also inadequate to cater to the rush of patients at the hospital.
MouthShut,Fortis,"I want to express my heartfelt gratitude to Dr. Harsimrat Bir Singh Sodhi for performing my spine surgery with such incredible skill and compassion. At just 16, I was extremely scared, but his calm, kind, and reassuring nature made all the difference. I am amazed and so happy that there was no pain at all. Dr. Sodhi is truly the best neurosurgeon, and I feel so fortunate to have been under his care. Thank you for your outstanding work and for making this experience so much easier for me."
